,BDEV.L,CRST.L,PSN.L,TW.L
10/1/2018,558.2000122,346.3999939,2318,168.3999939
11/1/2018,529.7999878,363.3999939,2363,166.25
15/1/2018,616.4000244,526.5,2619,197.6999969
16/1/2018,618.4000244,525,2621,198.1999969
17/1/2018,609.7999878,520,2610,196.6499939
18/1/2018,613,525,2621,196.6499939
19/1/2018,615.2000122,524.5,2634,197.9499969
22/1/2018,603.4000244,518.5,2630,194.9499969
23/1/2018,605.7999878,524,2650,197.8999939
24/1/2018,609.7999878,523.5,2640,197.8999939
25/1/2018,613,515,2602,196.8999939
26/1/2018,618.2000122,509,2631,199.3000031
29/1/2018,616.4000244,514.5,2619,198.5500031
30/1/2018,600.7999878,519,2571,195.1000061
31/1/2018,585.2000122,505.5,2502,190.6000061
1/2/2018,653.4000244,545.5,2751,208.1000061
2/2/2018,574.5999756,508,2504,189.1999969
3/2/2018,532.4000244,475,2584,186.0500031
5/2/2018,554.5999756,483.6000061,2711,190.6999969
7/2/2018,499.7000122,385.3999939,2487,175.1499939
8/2/2018,523.4000244,370.3999939,2413,169.75
10/2/2018,557.7999878,349.2000122,2309,165.6499939
11/2/2018,539,368,2387,168
13/2/2018,551,480,2418,185.0500031
14/2/2018,547.7999878,474,2410,185.6999969
15/2/2018,548.7999878,477.2000122,2425,186.75
16/2/2018,551.7999878,478,2423,187.8000031
19/2/2018,556,488.3999939,2425,187.9499969
20/2/2018,562.2000122,491.3999939,2465,191.0500031
21/2/2018,567.4000244,490.6000061,2484,191.3500061
22/2/2018,551.7999878,486,2456,190.0500031
23/2/2018,549.4000244,491,2472,190.3999939
26/2/2018,551.2000122,488,2488,192.1999969
27/2/2018,548,489.2000122,2604,193.75
28/2/2018,539,476.2000122,2601,186
1/3/2018,653,549,2753,209.1000061
4/3/2018,526.4000244,459,2534,184.8000031
5/3/2018,561.4000244,487.3999939,2732,192.8999939
7/3/2018,496.8999939,386.3999939,2496,174.8999939
8/3/2018,528.7999878,371.7999878,2437,170.8000031
9/3/2018,546.4000244,378.3999939,2438,169
10/3/2018,556.2000122,348.6000061,2332,168.1000061
12/3/2018,462,341.2000122,1893,133.6499939
13/3/2018,540,491,2549,185.3500061
14/3/2018,537.7999878,494,2550,185
15/3/2018,536.4000244,468.3999939,2560,186.6999969
16/3/2018,527.2000122,445.3999939,2527,184.1499939
19/3/2018,527.2000122,438.7999878,2532,185.0500031
20/3/2018,534.2000122,450.7999878,2551,187.8999939
21/3/2018,536,467.2000122,2561,187.1999969
22/3/2018,519.7999878,453.7999878,2489,183.6000061
23/3/2018,525,460,2495,184.5500031
26/3/2018,527.2000122,458.7999878,2500,183.8000031
27/3/2018,531.5999756,464.2000122,2526,184.6499939
28/3/2018,532.2000122,469.3999939,2544,185.4499969
29/3/2018,530.4000244,454.3999939,2530,184.6000061
1/4/2018,652.2000122,547.5,2754,208.3000031
4/4/2018,527.4000244,456.3999939,2558,185.5
5/4/2018,561.5999756,485.7999878,2730,193
6/4/2018,560,440.3999939,2851,188.9499969
7/4/2018,492.8999939,391.3999939,2482,173.9499969
9/4/2018,535.5999756,372.3999939,2358,164.3000031
10/4/2018,557.5999756,348.3999939,2303,165
12/4/2018,450.7999878,325,1864,131.4499969
13/4/2018,556,484.2000122,2676,190.6499939
16/4/2018,554.5999756,486,2671,190.5
17/4/2018,559.7999878,485,2704,192.6000061
18/4/2018,558.7999878,493.7999878,2693,193.0500031
19/4/2018,553,506.5,2702,193.5
20/4/2018,559.5999756,503.5,2717,194
23/4/2018,562.7999878,501.5,2721,194.8000031
24/4/2018,553.5999756,494,2690,193.3500061
25/4/2018,551.4000244,486.7999878,2694,192.8500061
26/4/2018,553.5999756,487.3999939,2683,190.0500031
27/4/2018,562,490.6000061,2730,194
30/4/2018,558,487,2715,191.75
1/5/2018,657.7999878,563.5,2778,211.1999969
2/5/2018,567,494.3999939,2470,187.25
3/5/2018,539.4000244,477.2000122,2642,187.5
4/5/2018,544,472.6000061,2620,187.5
6/5/2018,551.4000244,436.6000061,2828,187
7/5/2018,487.2999878,384.3999939,2475,171.5
9/5/2018,545.2000122,374.3999939,2372,166.3999939
10/5/2018,556.7999878,345,2311,165.1999969
11/5/2018,536.7999878,364,2373,165.1499939
12/5/2018,473.7999878,337,1995.5,137
14/5/2018,553.2000122,489.3999939,2766,195.1000061
15/5/2018,568.2000122,493.7999878,2817,202.3000031
16/5/2018,558.5999756,430.6000061,2783,200.1999969
17/5/2018,559.7999878,428.7999878,2798,202.3000031
18/5/2018,556.4000244,421.6000061,2813,203.5
21/5/2018,565.5999756,443.6000061,2847,204.8999939
22/5/2018,567.2000122,448,2849,205
23/5/2018,563,447,2815,202.3999939
24/5/2018,554.7999878,442.2000122,2804,200.6000061
25/5/2018,560.7999878,443,2841,202.8000031
29/5/2018,548.7999878,437.3999939,2815,201.1999969
30/5/2018,547.7999878,439,2829,201.1999969
31/5/2018,545.5999756,440.3999939,2832,190.1499939
2/6/2018,563,477.7999878,2435,184.75
3/6/2018,535,473.7999878,2650,187.8500061
4/6/2018,549.7999878,479.6000061,2644,188.8000031
6/6/2018,569.4000244,443,2856,188.8999939
7/6/2018,483,383.7999878,2470,172.8999939
8/6/2018,534.7999878,373.2000122,2461,171.8000031
9/6/2018,553.2000122,373.6000061,2392,168
11/6/2018,530.5999756,360.7999878,2356,164.3500061
12/6/2018,463,335.6000061,1942.5,133
13/6/2018,558.4000244,424.7999878,2806,186.1499939
14/6/2018,562,427.7999878,2727,188.1000061
15/6/2018,556.2000122,419.3999939,2687,186.3500061
18/6/2018,556,414,2701,186.6999969
19/6/2018,546.4000244,401.3999939,2626,183.75
20/6/2018,538,399,2610,183.6499939
21/6/2018,517.7999878,393.7999878,2530,178.25
22/6/2018,527.7999878,403.2000122,2576,181.1000061
25/6/2018,523.2000122,397,2523,178.25
26/6/2018,523.2000122,403.2000122,2540,179.3500061
27/6/2018,521.4000244,403.3999939,2549,178.9499969
28/6/2018,512.7999878,388,2514,177.5500031
29/6/2018,515.4000244,389.7999878,2533,178.8999939
2/7/2018,572.2000122,498.2000122,2500,189.8999939
3/7/2018,534.5999756,476.7999878,2643,186.8999939
6/7/2018,573.2000122,439.2000122,2877,190.1499939
8/7/2018,541.4000244,377.3999939,2483,173.3999939
9/7/2018,553.4000244,369,2369,165.8000031
11/7/2018,533,362.7999878,2369,165.5500031
12/7/2018,462.8999939,337.6000061,1946,134
13/7/2018,517.2000122,379.2000122,2482,176
16/7/2018,517.2910156,379.0029907,2473.254883,174.8500061
17/7/2018,519.7999878,385.6000061,2501,175.6000061
18/7/2018,524.5999756,390.2000122,2491,176.6499939
19/7/2018,530.2000122,389.7999878,2509,177.6999969
20/7/2018,532.4000244,389.7999878,2504,177.1999969
23/7/2018,516.5999756,377.3999939,2433,170.1999969
24/7/2018,522,378,2457,172.25
25/7/2018,529.2000122,377,2475,175.3500061
26/7/2018,528.7999878,376.7999878,2465,174.6499939
27/7/2018,537.5999756,379.6000061,2463,175.8999939
30/7/2018,529.4000244,380.2000122,2457,172.0500031
31/7/2018,534,380.7999878,2482,174.9499969
1/8/2018,647.4000244,552,2748,208.6000061
2/8/2018,548.2000122,484.2000122,2394,181.9499969
3/8/2018,542.4000244,486,2548,187.6000061
5/8/2018,560.2000122,478.6000061,2750,192.4499969
6/8/2018,586,445.7999878,2880,191.0500031
8/8/2018,547,380.7999878,2501,174.8500061
10/8/2018,553.4000244,341,2283,164.75
11/8/2018,545,367.7999878,2397,166.3999939
13/8/2018,539.2000122,374,2464,171.6000061
14/8/2018,539.4000244,372,2443,170.3000031
15/8/2018,528.2000122,372.3999939,2422,168.5
16/8/2018,537.4000244,379.7999878,2469,170.25
17/8/2018,537,386.7999878,2462,170.8999939
20/8/2018,539,381,2444,169.6499939
21/8/2018,543.2000122,391.6000061,2440,169.8000031
22/8/2018,545.4000244,393,2467,170.5
23/8/2018,546.4000244,397.6000061,2489,171.3999939
24/8/2018,541.7999878,387.3999939,2454,168.8000031
28/8/2018,545.2000122,389.3999939,2488,170.6499939
29/8/2018,541.4000244,384.3999939,2469,168.6499939
30/8/2018,545,382.7999878,2468,169.8500061
31/8/2018,542,382.6000061,2433,167.3500061
1/9/2018,643.4000244,547,2715,208.8999939
2/9/2018,554,491.2000122,2409,184.3999939
3/9/2018,548.5999756,491.6000061,2597,188.1000061
4/9/2018,547,475.6000061,2648,187.8500061
5/9/2018,568.2000122,477.2000122,2773,193.8500061
7/9/2018,484.1000061,385.3999939,2475,172.9499969
8/9/2018,543,376,2479,173.3999939
10/9/2018,552.5999756,336.3999939,2276,164.8500061
11/9/2018,544,363.2000122,2386,168
13/9/2018,553.2000122,358,2368,169.8999939
14/9/2018,556.4000244,368,2387,170.1000061
17/9/2018,559.2000122,372,2383,170.3999939
18/9/2018,561.5999756,372.3999939,2385,169.8500061
19/9/2018,570,375.6000061,2423,172.9499969
20/9/2018,577,362.7999878,2434,172.8000031
21/9/2018,560,352.7999878,2366,169.8999939
24/9/2018,558,351,2359,169.0500031
25/9/2018,562.2000122,347.3999939,2381,171.9499969
26/9/2018,565,347,2374,172.3000031
27/9/2018,570,349.2000122,2386,174.25
28/9/2018,567,350.2000122,2365,171.8000031
1/10/2018,634.2000122,539.5,2673,200.1999969
4/10/2018,552.7999878,480.2000122,2677,190.3999939
5/10/2018,558.4000244,475.7999878,2757,192.6999969
7/10/2018,483,384.2000122,2496,173.8500061
8/10/2018,541.2000122,375.3999939,2474,172.3500061
9/10/2018,557.2000122,372.3999939,2374,167.9499969
10/10/2018,555.2000122,335,2261,165.0500031
12/10/2018,439,309.3999939,1861,129.3000031
15/10/2018,505.3999939,318,2211,158.6000061
16/10/2018,514,323,2259,160.1499939
17/10/2018,510,296.3999939,2198,156.6499939
18/10/2018,514.2000122,300,2209,157.3999939
19/10/2018,491.6000061,302.7999878,2162,151.3999939
22/10/2018,496.6000061,306,2190,151.25
23/10/2018,497.6000061,324,2194,153
24/10/2018,496.2999878,326,2200,153.1999969
25/10/2018,497.2000122,328.3999939,2207,153.3500061
26/10/2018,488.8999939,332,2186,151.8500061
29/10/2018,498.8999939,329.3999939,2226,155.3999939
30/10/2018,511,342.7999878,2276,160.8000031
31/10/2018,514,340.7999878,2294,161.5
1/11/2018,617,527,2643,196.5
4/11/2018,551,483,2675,190.1999969
5/11/2018,561.2000122,491.2000122,2795,195.3000031
6/11/2018,579,446.2000122,2860,189.4499969
7/11/2018,500,379.7999878,2485,173.9499969
9/11/2018,557.4000244,367.6000061,2372,167.8000031
10/11/2018,487.7999878,318.3999939,2178,157.8500061
12/11/2018,447.2000122,318.3999939,1890.5,131.6000061
13/11/2018,545.7999878,349,2375,164.1000061
14/11/2018,545.7999878,356.6000061,2352,162.1000061
15/11/2018,505.3999939,344.2000122,2179,149.9499969
16/11/2018,503,339.2000122,2128,148.3500061
19/11/2018,491.8999939,344.2000122,2106,148.1000061
20/11/2018,484.6000061,339.2000122,2073,145.6499939
21/11/2018,494.3999939,352.2000122,2101,148
22/11/2018,502.7999878,360.3999939,2122,150
23/11/2018,509,369.2000122,2175,152.6000061
26/11/2018,508,371.3999939,2171,151.1499939
27/11/2018,495,367.2000122,2113,147.6000061
28/11/2018,481,358,2014,141.3999939
29/11/2018,472.7000122,354,1965.5,138.5500031
30/11/2018,462.2000122,342.2000122,1900,134
1/12/2018,621.2000122,530,2647,197.8500061
2/12/2018,552.5999756,487.6000061,2414,184.25
3/12/2018,549,494.2000122,2584,187.1000061
4/12/2018,550.4000244,484.2000122,2660,190.25
6/12/2018,561,428,2790,185.5
7/12/2018,510,376.7999878,2484,175.25
9/12/2018,557,359.7999878,2382,169.6000061
10/12/2018,513.7999878,322.7999878,2249,161.1499939
11/12/2018,524.5999756,347.3999939,2316,163.1000061
12/12/2018,468.1000061,340,1971,136.3999939
13/12/2018,452.7000122,336,1949.5,135.1999969
14/12/2018,440.5,321,1897,132.3000031
17/12/2018,434,310.7999878,1859.5,131
18/12/2018,439.1000061,314,1869,133.1000061
19/12/2018,450.2000122,317.6000061,1893,135.1999969
20/12/2018,445.6000061,319,1896,134.75
21/12/2018,452,324,1903,134.75
24/12/2018,444.7000122,312,1901.5,134.8500061
27/12/2018,446,317.2000122,1882,133.0500031
28/12/2018,459.1000061,325.6000061,1934.5,136.8999939
31/12/2018,462.7999878,328.2000122,1930,136.25
2/1/2019,547.7999878,381.2000122,2411,167.75
3/1/2019,600.4000244,401.3999939,2433,179.8000031
4/1/2019,605.5999756,375,2171,176.6999969
5/1/2019,606,392.3999939,2222,183.1000061
7/1/2019,577.2000122,355.2000122,1992,159.3999939
8/1/2019,646,362.7999878,2014,161.1999969
10/1/2019,646.4000244,380.2000122,2171,162.0500031
11/1/2019,634,380,2289,168
14/1/2019,507.7999878,352.7999878,2229,157
15/1/2019,498.5,348,2201,155.25
16/1/2019,518,354,2320,164
17/1/2019,516.5999756,351.6000061,2315,162
18/1/2019,535,357.3999939,2395,167.1999969
21/1/2019,537,357,2388,165.75
22/1/2019,532.5999756,355.2000122,2390,165.3999939
23/1/2019,534.4000244,355.3999939,2371,166.0500031
24/1/2019,539,348,2380,166.3999939
25/1/2019,536.4000244,348.3999939,2392,165.8000031
28/1/2019,535.4000244,341.6000061,2356,163.6499939
29/1/2019,537,361.6000061,2386,166.1000061
30/1/2019,544,367.2000122,2408,167.6999969
31/1/2019,538.5999756,377.3999939,2375,165.1499939
1/2/2019,462.2000122,330.6000061,1940.5,136.8500061
4/2/2019,607,370.6000061,2162,179.25
5/2/2019,596.5999756,387.6000061,2209,181.6000061
7/2/2019,579.4000244,356,1966.5,160.1000061
8/2/2019,639.2000122,356,1953,155.4499969
9/2/2019,632.4000244,346,1904.5,147.3000031
10/2/2019,618.2000122,369,2088,155.6499939
12/2/2019,656.2000122,381,2513,172.5500031
13/2/2019,564.5999756,380,2433,166.4499969
14/2/2019,564.2000122,370,2403,164.1499939
15/2/2019,563.5999756,369.3999939,2405,164.1499939
18/2/2019,562,369.3999939,2420,164.6000061
19/2/2019,568.7999878,373.2000122,2431,166.1000061
20/2/2019,571.2000122,376.6000061,2441,167.1000061
21/2/2019,575.7999878,379.2000122,2460,167.25
22/2/2019,575.2000122,380.6000061,2468,167.5500031
25/2/2019,573.2000122,379.3999939,2352,165.3500061
26/2/2019,589.2000122,391.3999939,2396,170.9499969
27/2/2019,599.2000122,394.6000061,2452,177
28/2/2019,599,390.7999878,2433,181.3999939
1/3/2019,464.2999878,329.2000122,1947,137.6999969
4/3/2019,621.7999878,382.2000122,2241,187.0500031
5/3/2019,593.7999878,382.3999939,2188,181.1999969
6/3/2019,552.7999878,360,1950,163.9499969
7/3/2019,585.2000122,360.7999878,1987.5,162.1999969
9/3/2019,622,343.6000061,1864,146.3999939
10/3/2019,618,365.6000061,2087,150.6499939
12/3/2019,649.5999756,381,2490,172.5
13/3/2019,609,394.2000122,2237,181.8500061
14/3/2019,611.7999878,396.2000122,2265,182.1499939
15/3/2019,613,404.6000061,2294,183.75
18/3/2019,613.2000122,404.7999878,2284,183.3500061
19/3/2019,613.5999756,397.6000061,2305,185
20/3/2019,595,388.7999878,2212,178.6000061
21/3/2019,584.7999878,354.2000122,2160,176.6000061
22/3/2019,586.4000244,351.2000122,2138,174.5
25/3/2019,590,353,2155,175.4499969
26/3/2019,594.5999756,370.7999878,2160,175.1000061
27/3/2019,610.7999878,368.7999878,2198,178.8000031
28/3/2019,593.5999756,362.6000061,2173,178.1499939
29/3/2019,599.2000122,370,2170,175.4499969
1/4/2019,473.5,332,2006,140.3999939
2/4/2019,547.5999756,382.6000061,2402,168.3999939
3/4/2019,605.4000244,401.7999878,2460,181.3500061
4/4/2019,625.7999878,389.6000061,2246,184.9499969
6/4/2019,554,364.6000061,2006,166.0500031
7/4/2019,584,360.7999878,1964,161.1499939
9/4/2019,599.5999756,348.3999939,1866.5,148.1000061
10/4/2019,620.5999756,368,2096,149.6000061
11/4/2019,626.7999878,371.7999878,2270,168.1000061
12/4/2019,665,388.6000061,2533,175
15/4/2019,618.7999878,399.3999939,2312,189.6499939
16/4/2019,623,400.3999939,2348,190.75
17/4/2019,613.4000244,395.7999878,2349,188.6499939
18/4/2019,615.2000122,395.3999939,2344,190.0500031
23/4/2019,612,395.3999939,2327,190.6000061
24/4/2019,617.2000122,400.6000061,2331,192.25
25/4/2019,602.5999756,387,2270,181.9499969
26/4/2019,606,385.3999939,2270,182.5500031
29/4/2019,612.7999878,388.7999878,2269,184.5500031
30/4/2019,601.7999878,385,2236,181.3999939
2/5/2019,546.4000244,382,2433,168.4499969
3/5/2019,608,399.3999939,2471,184.5
4/5/2019,616,383,2225,184
6/5/2019,565.7999878,368,2022,169.1499939
7/5/2019,574.4000244,354.3999939,1922.5,158.6499939
8/5/2019,625.5999756,347,1906,147.3999939
9/5/2019,607.2000122,351.3999939,1914.5,151.75
11/5/2019,630.7999878,375,2277,170.0500031
12/5/2019,661.4000244,391.3999939,2515,174
13/5/2019,597.5999756,362.3999939,2060,175.4499969
14/5/2019,609.5999756,366,2108,177.1999969
15/5/2019,613.4000244,369.6000061,2108,176.5
16/5/2019,620,366.6000061,2114,178.4499969
17/5/2019,613.5999756,372.7999878,2117,177.6000061
20/5/2019,586.7999878,365.3999939,2046,171.5
21/5/2019,597,376.6000061,2108,175.8500061
22/5/2019,571.4000244,361,1991.5,168
23/5/2019,559.4000244,353.2000122,1950,165.8000031
24/5/2019,566,359,1968.5,168.3000031
28/5/2019,568.5999756,370.7999878,1971.5,167.5500031
29/5/2019,564.4000244,367.6000061,1960,167
30/5/2019,568.7999878,373,1975,168.6999969
31/5/2019,558,366.6000061,1967,165.25
2/6/2019,561.7999878,383.7999878,2441,168.3500061
3/6/2019,612.2000122,394.6000061,2433,183.5500031
6/6/2019,562,357.6000061,2022,156.5
8/6/2019,624.4000244,349.2000122,1896.5,146.5
9/6/2019,613,356.7999878,1911.5,150.4499969
11/6/2019,633.5999756,368.2000122,2276,167.8999939
12/6/2019,668.5999756,396.7999878,2525,177.3500061
13/6/2019,568.4000244,355.7999878,1955,158.1999969
14/6/2019,561.5999756,356.3999939,1945.5,155.6000061
17/6/2019,565,360.2000122,1936.5,156.6000061
18/6/2019,564,359.7999878,1944.5,157
19/6/2019,562.5999756,355,1936.5,156.75
20/6/2019,565.4000244,355.3999939,1936.5,156.4499969
21/6/2019,562.5999756,356.3999939,1947,157.1000061
24/6/2019,563.4000244,347.7999878,1937.5,156.1000061
25/6/2019,561.2000122,345.7999878,1944.5,155.8999939
26/6/2019,557.7999878,345.3999939,1930,154.75
27/6/2019,564.2000122,348.2000122,1937.5,155.4499969
28/6/2019,572.5999756,357,1997,157.75
1/7/2019,477,337.6000061,2008,139.6999969
2/7/2019,553,374.7999878,2378,164.25
3/7/2019,604.5999756,382.3999939,2250,179.8999939
5/7/2019,583.7999878,378.2000122,2154,180.3500061
6/7/2019,565,358.3999939,2041,157.4499969
8/7/2019,631.5999756,355.2000122,1908.5,148.75
10/7/2019,619.4000244,369.2000122,2069,149.75
11/7/2019,640.4000244,368,2362,169.1999969
15/7/2019,624.5999756,363.2000122,1932,163.0500031
16/7/2019,625.5999756,360,1928.5,163.6000061
17/7/2019,632,356.6000061,1950.5,163.5500031
18/7/2019,631.4000244,354,1978,164.8999939
19/7/2019,634,352.3999939,1974,165
22/7/2019,643.4000244,357.2000122,2030,167.6499939
23/7/2019,645.5999756,359.7999878,2026,167.0500031
24/7/2019,653.7999878,367,2065,173.5
25/7/2019,655.4000244,361.2000122,2071,172.6000061
26/7/2019,662,370,2094,173.5
29/7/2019,663,370.6000061,2094,174.3500061
30/7/2019,657.7999878,368.3999939,2041,176.5500031
31/7/2019,645.2000122,367,2009,161.8000031
1/8/2019,479.2999878,337.3999939,2040,140.3999939
2/8/2019,563,370.3999939,2399,164.4499969
3/8/2019,605.2000122,389.6000061,2248,179.1499939
